                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.518,                 2.6901,                 1.5823,                0.29511,                0.27115,                 0.1855,                0.07113,                 2.1243,                 3.1109,                 2.2991,              0.0005535,              0.0005535,              0.0005535
                      2,                 1.6542,                 2.4512,                 1.7195,                0.40386,                0.26191,                0.26079,                0.10401,                 1.9504,                 2.8688,                 2.3176,              0.0010872,              0.0010872,              0.0010872
                      3,                 1.7165,                  2.365,                 1.7699,                0.32687,                0.36966,                0.23842,                0.09577,                 1.9554,                 2.7722,                 2.2452,              0.0015989,              0.0015989,              0.0015989
                      4,                 1.6809,                 2.2603,                 1.7407,                0.22683,                0.35534,                0.22115,                0.09516,                 1.8323,                 2.7913,                 2.1313,               0.001568,               0.001568,               0.001568
                      5,                 1.6238,                 2.1238,                 1.6975,                0.39987,                0.37055,                0.34563,                 0.1601,                 1.6988,                 2.5945,                 1.9867,               0.001568,               0.001568,               0.001568
                      6,                 1.5775,                 2.0453,                 1.6748,                0.54035,                0.45269,                 0.4462,                0.21572,                 1.6431,                 2.0087,                 1.9608,               0.001535,               0.001535,               0.001535
                      7,                 1.5116,                 1.9203,                 1.6027,                0.53991,                 0.5275,                0.52043,                0.26942,                 1.5344,                 1.8424,                  1.808,               0.001502,               0.001502,               0.001502
                      8,                 1.5005,                 1.8809,                 1.5876,                 0.6171,                0.50062,                0.52598,                0.26753,                 1.5053,                 1.9618,                 1.8218,               0.001469,               0.001469,               0.001469
                      9,                 1.4667,                 1.7904,                 1.5652,                 0.5999,                 0.5415,                0.59048,                0.30237,                 1.4905,                 1.8018,                 1.7565,               0.001436,               0.001436,               0.001436
                     10,                 1.4545,                 1.7511,                 1.5505,                0.66782,                0.58453,                0.63971,                0.34196,                 1.4522,                 1.6012,                 1.7138,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.4173,                 1.6912,                 1.5238,                0.66786,                0.56201,                0.60579,                0.31397,                 1.4904,                 1.6369,                 1.7492,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.3862,                 1.6308,                  1.499,                 0.7245,                0.62868,                0.68139,                0.37684,                 1.4133,                 1.5022,                 1.7034,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.3863,                 1.6089,                 1.5044,                0.72694,                 0.5981,                0.69192,                0.38699,                 1.4064,                 1.4244,                 1.6767,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.3643,                 1.5416,                 1.4794,                0.73546,                0.63459,                0.69903,                0.40059,                 1.3825,                 1.4386,                 1.6431,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.3377,                 1.5142,                 1.4698,                0.74593,                0.64419,                0.71834,                0.41973,                  1.337,                 1.4252,                 1.6231,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.3274,                 1.4776,                 1.4533,                0.68083,                0.65316,                0.68736,                0.39663,                 1.3625,                 1.3668,                 1.6319,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.3075,                 1.4375,                 1.4355,                0.73069,                0.67331,                0.73626,                0.44281,                 1.3073,                 1.3667,                 1.5879,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.2904,                 1.3914,                 1.4276,                0.76593,                0.66586,                0.75168,                0.44513,                 1.3892,                 1.2783,                 1.6347,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.3032,                 1.3988,                 1.4195,                0.75853,                0.72093,                  0.778,                0.48565,                 1.2596,                 1.2051,                 1.5345,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.2888,                 1.3672,                 1.4229,                0.80482,                0.72034,                 0.7989,                0.48162,                 1.3073,                 1.1906,                 1.5628,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.2658,                 1.3408,                 1.3994,                0.83833,                0.68281,                 0.7908,                0.48554,                 1.3228,                  1.174,                 1.5813,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2529,                 1.3111,                 1.3969,                0.80308,                0.71918,                0.80162,                0.49839,                  1.284,                 1.1347,                 1.5327,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.2475,                 1.3004,                 1.3824,                0.78083,                0.70841,                0.78517,                0.47979,                   1.31,                 1.1836,                 1.5566,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2316,                 1.2574,                 1.3684,                   0.79,                 0.7542,                0.81374,                  0.522,                 1.2224,                  1.103,                 1.4838,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2297,                 1.2429,                 1.3656,                0.82378,                0.73883,                0.80774,                0.50855,                 1.2467,                 1.0827,                 1.5103,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2003,                 1.2079,                 1.3552,                0.81647,                0.76278,                0.82631,                0.52351,                 1.2396,                 1.0661,                 1.5006,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2135,                 1.1852,                 1.3514,                0.81205,                0.73978,                0.81226,                0.51578,                  1.234,                 1.0904,                 1.4875,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.1779,                 1.1569,                 1.3366,                 0.8209,                0.78267,                0.83357,                0.54187,                  1.226,                 1.0402,                  1.476,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.1799,                 1.1597,                 1.3379,                0.83522,                0.75739,                0.83327,                0.52356,                 1.2549,                 1.0142,                  1.497,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.1762,                 1.1446,                 1.3219,                0.83152,                0.78408,                0.85201,                0.54468,                 1.2076,                0.96639,                  1.458,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.1632,                 1.1156,                  1.313,                0.81403,                0.79266,                0.84051,                0.56286,                 1.1783,                0.97651,                 1.4344,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1458,                 1.0905,                 1.3154,                0.82423,                0.79105,                0.83974,                0.55704,                 1.2101,                0.94539,                  1.461,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.1368,                 1.0817,                 1.2952,                0.87891,                 0.7723,                0.84556,                0.55066,                 1.2026,                0.94966,                 1.4577,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1346,                 1.0767,                  1.298,                0.83566,                0.78465,                0.84793,                0.56698,                 1.1772,                0.93145,                 1.4263,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1213,                 1.0426,                 1.2906,                0.86789,                0.78726,                0.86692,                 0.5755,                  1.161,                0.88628,                 1.4129,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1223,                 1.0322,                 1.2895,                0.86654,                0.80924,                0.87084,                0.58705,                 1.1623,                0.86428,                 1.4118,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0929,                0.98362,                  1.259,                0.86411,                0.82528,                0.86363,                0.58975,                 1.1341,                0.85359,                 1.3963,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.105,                      1,                 1.2729,                0.85945,                0.80988,                0.86559,                0.58689,                 1.1141,                0.87382,                 1.3845,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.0889,                0.99551,                 1.2566,                 0.8925,                0.80559,                0.86923,                0.57834,                 1.1614,                0.85828,                 1.4069,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0798,                0.96659,                 1.2511,                0.88543,                 0.7904,                 0.8646,                0.58411,                 1.1597,                0.83975,                 1.4152,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0122,                0.76442,                 1.2323,                0.88872,                0.78694,                0.86694,                0.58353,                  1.148,                0.85568,                 1.3958,             0.00037974,             0.00037974,             0.00037974
                     42,                0.99313,                 0.7221,                 1.2109,                0.87791,                0.81356,                  0.868,                0.60473,                 1.1156,                0.83318,                 1.3643,             0.00034674,             0.00034674,             0.00034674
                     43,                0.97531,                0.70438,                 1.1966,                0.90514,                 0.8373,                0.88735,                 0.6072,                 1.1337,                0.79906,                 1.3812,             0.00031373,             0.00031373,             0.00031373
                     44,                 0.9614,                0.68726,                 1.1862,                0.88967,                0.83167,                0.88551,                0.61389,                 1.1161,                0.77232,                 1.3631,             0.00028072,             0.00028072,             0.00028072
                     45,                0.93735,                0.65593,                 1.1707,                0.89187,                0.83039,                0.88098,                0.60872,                 1.1373,                0.78169,                 1.3805,             0.00024772,             0.00024772,             0.00024772
                     46,                0.93233,                0.64466,                 1.1602,                0.88576,                0.82724,                0.87938,                 0.6225,                 1.1029,                0.77313,                 1.3551,             0.00021471,             0.00021471,             0.00021471
                     47,                0.91688,                0.63309,                 1.1525,                0.89787,                0.84186,                0.88428,                0.62813,                 1.1066,                0.75357,                 1.3668,              0.0001817,              0.0001817,              0.0001817
                     48,                0.91748,                0.62421,                 1.1593,                0.90625,                0.82899,                0.89298,                0.62694,                 1.1094,                 0.7486,                 1.3597,              0.0001487,              0.0001487,              0.0001487
                     49,                0.90003,                0.59655,                 1.1453,                0.89223,                0.84423,                0.89414,                0.63345,                 1.0972,                0.72787,                 1.3566,             0.00011569,             0.00011569,             0.00011569
                     50,                0.89769,                0.59842,                 1.1377,                0.90869,                0.83457,                 0.8959,                0.63626,                 1.0946,                0.73818,                  1.349,             8.2683e-05,             8.2683e-05,             8.2683e-05
